run_id,hk_ft_per_day,particle_id,point_id,x_ft,y_ft
run_10,39.726738,1,1,56382.700,49758.200
run_10,39.726738,1,2,56382.700,49758.200
run_10,39.726738,1,3,56457.100,49688.500
run_10,39.726738,1,4,56533.700,49621.000
run_10,39.726738,1,5,56614.100,49558.400
run_10,39.726738,1,6,56701.100,49506.400
run_10,39.726738,1,7,56797.600,49480.700
run_10,39.726738,1,8,56842.300,49487.300
run_10,39.726738,1,9,56842.300,49487.300
run_10,39.726738,1,10,56842.300,49487.300
run_10,39.726738,2,1,56382.800,49758.300
run_10,39.726738,2,2,56382.800,49758.300
run_10,39.726738,2,3,56465.400,49698.500
run_10,39.726738,2,4,56551.800,49644.200
run_10,39.726738,2,5,56644.500,49601.800
run_10,39.726738,2,6,56744.200,49582.900
run_10,39.726738,2,7,56842.700,49604.700
run_10,39.726738,2,8,56922.100,49666.400
run_10,39.726738,2,9,56953.000,49704.200
run_10,39.726738,2,10,56953.000,49704.200
run_10,39.726738,2,11,56953.000,49704.200
run_10,39.726738,3,1,56382.900,49758.600
run_10,39.726738,3,2,56382.900,49758.600
run_10,39.726738,3,3,56472.300,49709.400
run_10,39.726738,3,4,56566.300,49669.500
run_10,39.726738,3,5,56666.000,49648.400
run_10,39.726738,3,6,56767.100,49658.700
run_10,39.726738,3,7,56855.800,49707.700
run_10,39.726738,3,8,56922.300,49784.100
run_10,39.726738,3,9,56967.900,49874.600
run_10,39.726738,3,10,56996.600,49971.900
run_10,39.726738,3,11,56997.800,49977.500
run_10,39.726738,3,12,56997.800,49977.500
run_10,39.726738,3,13,56997.800,49977.500
run_10,39.726738,4,1,56383.100,49758.800
run_10,39.726738,4,2,56383.100,49758.800
run_10,39.726738,4,3,56477.900,49721.200
run_10,39.726738,4,4,56576.900,49696.400
run_10,39.726738,4,5,56678.800,49695.800
run_10,39.726738,4,6,56774.900,49729.400
run_10,39.726738,4,7,56852.300,49795.200
run_10,39.726738,4,8,56907.000,49880.700
run_10,39.726738,4,9,56941.900,49976.100
run_10,39.726738,4,10,56960.800,50075.900
run_10,39.726738,4,11,56966.500,50177.300
run_10,39.726738,4,12,56966.500,50180.400
run_10,39.726738,4,13,56966.500,50180.400
run_10,39.726738,4,14,56966.500,50180.400
run_10,39.726738,5,1,56383.100,49759.000
run_10,39.726738,5,2,56383.100,49759.000
run_10,39.726738,5,3,56481.900,49733.500
run_10,39.726738,5,4,56583.500,49724.100
run_10,39.726738,5,5,56683.800,49742.400
run_10,39.726738,5,6,56771.700,49793.800
run_10,39.726738,5,7,56837.900,49871.000
run_10,39.726738,5,8,56881.900,49962.700
run_10,39.726738,5,9,56907.200,50061.100
run_10,39.726738,5,10,56917.300,50162.300
run_10,39.726738,5,11,56915.000,50264.000
run_10,39.726738,5,12,56911.000,50305.500
run_10,39.726738,5,13,56911.000,50305.500
run_10,39.726738,5,14,56911.000,50305.500
run_10,39.726738,6,1,56383.200,49759.300
run_10,39.726738,6,2,56383.200,49759.300
run_10,39.726738,6,3,56484.300,49746.200
run_10,39.726738,6,4,56586.200,49751.900
run_10,39.726738,6,5,56682.000,49787.100
run_10,39.726738,6,6,56760.500,49852.000
run_10,39.726738,6,7,56816.000,49937.400
run_10,39.726738,6,8,56850.100,50033.200
run_10,39.726738,6,9,56866.600,50133.600
run_10,39.726738,6,10,56868.800,50235.300
run_10,39.726738,6,11,56859.300,50336.600
run_10,39.726738,6,12,56840.000,50436.500
run_10,39.726738,6,13,56834.800,50457.500
run_10,39.726738,6,14,56834.800,50457.500
run_10,39.726738,6,15,56834.800,50457.500
run_10,39.726738,7,1,56383.200,49759.500
run_10,39.726738,7,2,56383.200,49759.500
run_10,39.726738,7,3,56485.200,49759.200
run_10,39.726738,7,4,56585.200,49779.500
run_10,39.726738,7,5,56674.300,49829.100
run_10,39.726738,7,6,56742.900,49904.500
run_10,39.726738,7,7,56788.200,49995.700
run_10,39.726738,7,8,56813.200,50094.400
run_10,39.726738,7,9,56821.600,50195.800
run_10,39.726738,7,10,56816.700,50297.500
run_10,39.726738,7,11,56800.800,50398.000
run_10,39.726738,7,12,56775.600,50496.600
run_10,39.726738,7,13,56761.500,50541.200
run_10,39.726738,7,14,56761.500,50541.200
run_10,39.726738,7,15,56761.500,50541.200
run_10,39.726738,8,1,56383.200,49759.800
run_10,39.726738,8,2,56383.200,49759.800
run_10,39.726738,8,3,56484.400,49772.100
run_10,39.726738,8,4,56580.700,49806.100
run_10,39.726738,8,5,56661.700,49868.000
run_10,39.726738,8,6,56720.300,49951.500
run_10,39.726738,8,7,56756.100,50046.800
run_10,39.726738,8,8,56772.500,50147.400
run_10,39.726738,8,9,56773.500,50249.200
run_10,39.726738,8,10,56762.000,50350.300
run_10,39.726738,8,11,56740.200,50449.800
run_10,39.726738,8,12,56709.900,50546.900
run_10,39.726738,8,13,56672.100,50641.400
run_10,39.726738,8,14,56665.400,50656.400
run_10,39.726738,8,15,56665.400,50656.400
run_10,39.726738,8,16,56665.400,50656.400
run_10,39.726738,9,1,56383.100,49760.000
run_10,39.726738,9,2,56383.100,49760.000
run_10,39.726738,9,3,56482.100,49784.800
run_10,39.726738,9,4,56572.800,49831.600
run_10,39.726738,9,5,56645.000,49903.600
run_10,39.726738,9,6,56693.700,49993.200
run_10,39.726738,9,7,56720.300,50091.600
run_10,39.726738,9,8,56728.900,50193.100
run_10,39.726738,9,9,56723.000,50294.800
run_10,39.726738,9,10,56705.500,50395.100
run_10,39.726738,9,11,56678.400,50493.200
run_10,39.726738,9,12,56643.200,50588.700
run_10,39.726738,9,13,56601.100,50681.400
run_10,39.726738,9,14,56585.600,50711.800
run_10,39.726738,9,15,56585.600,50711.800
run_10,39.726738,9,16,56585.600,50711.800
run_10,39.726738,10,1,56383.100,49760.200
run_10,39.726738,10,2,56383.100,49760.200
run_10,39.726738,10,3,56478.100,49797.100
run_10,39.726738,10,4,56562.000,49855.300
