gflow_label,x_epsg2229_ft,y_epsg2229_ft,n_source_wells,source_recordation_numbers,source_well_ids,owners,production_2014_15_afy,discharge_ft3_day
1901692,6550303.156,1849074.632,1,1901692,2A,"El Monte, City of",486.000,58000.438
1902027,6551351.781,1856292.229,1,1902027,PERSIMMON_1,Southern California Water Company - San Gabriel,44.000,5251.068
1901699,6551377.740,1849246.104,1,1901699,10,"El Monte, City of",1059.000,126383.671
8000213,6553452.728,1866971.332,1,8000213,3CAM,"Arcadia, City of",2394.000,285705.863
8000065,6553609.780,1856891.819,1,8000065,2E,San Gabriel Valley Water Company,1362.000,162544.438
8000197,6553650.643,1856543.684,1,8000197,8000197,San Gabriel Valley Water Company,617.000,73634.301
1902857,6553656.548,1856514.665,1,1902857,2D,San Gabriel Valley Water Company,816.000,97383.452
1902713,6554636.565,1837544.265,1,1902713,11C,San Gabriel Valley Water Company,725.000,86523.288
1902948,6554745.337,1858586.098,1,1902948,FARNA_2,Southern California Water Company - San Gabriel,104.000,12411.616
1900745,6554838.879,1837638.602,1,1900745,11B,San Gabriel Valley Water Company,1201.000,143330.301
1900331,6555029.241,1839278.002,1,1900331,BURKETT,Del Rio Mutual Water Company,114.000,13605.041
1902034,6555035.943,1858464.144,1,1902034,FARNA_1,Southern California Water Company - San Gabriel,349.000,41650.521
1900739,6555132.357,1837782.641,1,1900739,11A,San Gabriel Valley Water Company,1543.000,184145.425
8000127,6556582.002,1861229.076,1,8000127,LIVE_OAK-1,"Arcadia, City of",2179.000,260047.233
1902096,6558127.773,1851355.970,1,1902096,NORTH,Sterling Mutual Water Company,59.000,7041.205
8000132,6558204.522,1851278.717,1,8000132,NEW_SOUTH,Sterling Mutual Water Company,54.000,6444.493
8000172,6558647.038,1853883.283,1,8000172,1E,San Gabriel Valley Water Company,1787.000,213264.986
8000102,6558729.469,1854015.013,1,8000102,1D,San Gabriel Valley Water Company,2778.000,331533.370
1903081,6558788.240,1843840.732,1,1903081,8,California Domestic Water Company,2919.000,348360.658
1900729,6558789.052,1853886.817,1,1900729,1B,San Gabriel Valley Water Company,305.000,36399.452
1903072,6558794.830,1839734.655,1,1903072,5R,"Woodland Farms, Inc.",122.000,14559.781
1902946,6558796.009,1853873.794,1,1902946,1C,San Gabriel Valley Water Company,50.000,5967.123
1902854,6559131.505,1860453.716,1,1902854,PECK_1,"Arcadia, City of",3834.000,457559.014
1901181,6559217.595,1843946.325,1,1901181,2,California Domestic Water Company,1167.000,139272.658
1901014,6559533.251,1864048.400,1,1901014,LONGDEN-2,"Arcadia, City of",109.000,13008.329
1903057,6559568.663,1844577.181,1,1903057,3,California Domestic Water Company,6216.000,741832.767
1902806,6559710.107,1856960.811,1,1902806,SOUTH,Hemlock Mutual Water Company,47.000,5609.096
1901013,6559714.140,1864013.807,1,1901013,LONGDEN-1,"Arcadia, City of",894.000,106692.164
1901178,6559723.345,1857033.768,1,1901178,NORTH,Hemlock Mutual Water Company,28.000,3341.589
8000100,6559740.204,1846272.638,1,8000100,05A,California Domestic Water Company,5440.000,649223.014
8000121,6559740.286,1854259.701,1,8000121,3,Champion Mutual Water Company,50.000,5967.123
1902967,6559850.480,1846050.274,1,1902967,6,California Domestic Water Company,3026.000,361130.301
1902816,6559862.823,1854117.298,1,1902816,2,Champion Mutual Water Company,1.000,119.342
8000097,6559947.130,1840123.882,1,8000097,5,City of Industry,1386.000,165408.658
8000111,6560210.949,1865178.177,1,8000111,4JEF,Southern California Water Company - San Gabriel,889.000,106095.452
1900120,6560292.515,1855857.898,1,1900120,1_NORTH,Rurban Homes Mutual Water Company,174.000,20765.589
1900418,6560662.738,1863580.699,1,1900418,2,"Monrovia, City of",27.000,3222.247
8000160,6561036.674,1842426.342,1,8000160,B5D,San Gabriel Valley Water Company,88.000,10502.137
1900419,6561069.329,1864985.365,1,1900419,3,"Monrovia, City of",1670.000,199301.918
1900719_8000205,6561081.295,1842616.198,2,1900719_8000205,B5B_B5E,San Gabriel Valley Water Company,8227.000,981830.466
8000171,6561184.620,1865073.987,1,8000171,6,"Monrovia, City of",2178.000,259927.890
1940104,6561492.208,1864027.980,1,1940104,5,"Monrovia, City of",1435.000,171256.438
1900420,6562528.782,1864812.584,1,1900420,4,"Monrovia, City of",1573.000,187725.699
1902971,6563549.742,1840897.085,1,1902971,SONOCO2,Sonoco Products Company,142.000,16946.630
1901492,6564322.037,1860287.710,1,1901492,1_EL_409,"Livingston-Graham, Inc.",124.000,14798.466
8000188_8000187,6564448.794,1846116.205,2,8000188_8000187,SA3-1D_SA3-1S,BPOU Remedy,6963.000,830981.589
1900415,6566966.897,1877714.994,1,1900415,Banks,Doyle & Madruga (Banks),34.000,4057.644
1903062,6567159.741,1864477.421,1,1903062,IRWINDALE-2_BLU,Sully-Miller Contracting Co. (Blue Diamond Mat'l),17.000,2028.822
1900106,6567436.319,1864040.516,1,1900106,IRWINDALE-1_BLU,Sully-Miller Contracting Co. (Blue Diamond Mat'l),298.000,35564.055
1900364,6568179.958,1858101.074,1,1900364,2,Valley View Mutual Water Company,624.000,74469.699
8000216,6568641.741,1869079.574,1,8000216,B-V2,California American Water Co,1821.000,217322.630
8000190_8000189,6569095.522,1846923.000,2,8000190_8000189,SA3-2D_SA3-2S,BPOU Remedy,2682.000,320076.493
8000099,6569558.396,1837680.360,1,8000099,B9B,San Gabriel Valley Water Company,280.000,33415.890
8000203,6570177.571,1835582.298,1,8000203,B24A,San Gabriel Valley Water Company,116.000,13843.726
8000068,6570177.861,1835671.298,1,8000068,B7C,San Gabriel Valley Water Company,551.000,65757.699
8000122,6570193.229,1835477.245,1,8000122,B7E,San Gabriel Valley Water Company,175.000,20884.932
8000204,6570387.261,1835485.610,1,8000204,B24B,San Gabriel Valley Water Company,78.000,9308.712
8000108,6570882.060,1837874.032,1,8000108,B11B,San Gabriel Valley Water Company,875.000,104424.658
1901460,6571397.480,1846589.464,1,1901460,LaPuente_2,La Puente Valley County Water District,324.000,38666.959
8000077,6571465.969,1837535.116,1,8000077,147-W3,Suburban Water Systems,1927.000,229972.932
8000209,6571516.191,1846500.075,1,8000209,8000209,La Puente Valley County Water District,2882.000,343944.986
1902859,6571664.863,1846398.587,1,1902859,LaPuente3,La Puente Valley County Water District,57.000,6802.521
8000145,6571804.204,1843434.096,1,8000145,140-W5,Suburban Water Systems,1182.000,141062.795
1902356,6572474.310,1860952.033,1,1902356,JOANBRIDGE_WEST_-3WT,Valley County Water District,2753.000,328549.808
1900032,6572670.479,1861003.392,1,1900032,JOANBRIDGE_EAST_-6,Valley County Water District,1490.000,177820.274
1900028,6573315.015,1860858.284,1,1900028,WEST_MAINE-2,Valley County Water District,1052.000,125548.274
1900027,6573472.959,1860840.768,1,1900027,EAST_MAINE-1,Valley County Water District,1775.000,211832.877
1900354,6573752.443,1870816.864,1,1900354,SANTE_FE,California American Water Co-Duarte System,526.000,62774.137
8000207,6576388.923,1843011.100,1,8000207,151-W2,Suburban Water Systems,2907.000,346928.548
8000140,6577599.222,1874426.282,1,8000140,LAS_LOMAS_2,California American Water Co-Duarte System,297.000,35444.712
1903018,6577971.606,1872394.078,1,1903018,CROWN_HAVEN,California American Water Co-Duarte System,739.000,88194.082
1900883,6578096.302,1854786.634,1,1900883,BALDWIN_2,Covina Irrigating Company,1150.000,137243.836
8000060,6578115.503,1860990.597,1,8000060,SA1-3,Valley County Water District,2481.000,296088.658
1900882,6578175.295,1854784.376,1,1900882,BALDWIN_3,Covina Irrigating Company,1916.000,228660.164
1900885,6578237.589,1854874.173,1,1900885,BALDWIN_1,Covina Irrigating Company,278.000,33177.205
8000183,6578641.503,1845631.773,1,8000183,142-W2,Suburban Water Systems,2050.000,244652.055
1900497,6578812.190,1875950.312,1,1900497,BACON,California American Water Co-Duarte System,14.000,1670.795
8000070,6579063.599,1866545.502,1,8000070,SANTA_FE_1,"Los Angeles, County of",936.000,111704.548
8000075,6579587.007,1867906.822,1,8000075,1,Miller Brewing Company,402.000,47975.671
8000185,6579668.713,1861049.524,1,8000185,SA1-1,BPOU Remedy,2275.000,271504.110
8000184,6579796.667,1861035.106,1,8000184,13-E,"Glendora, City of",951.000,113494.685
8000139,6580418.299,1874446.081,1,8000139,ENCANTO_PKWY,California American Water Co-Duarte System,288.000,34370.630
1903088,6580610.966,1871271.469,1,1903088,01-REL,Conrock Company (also Ca. Portland Cement),421.000,50243.178
8000181,6580754.642,1845661.871,1,8000181,121-W1,Suburban Water Systems,1225.000,146194.521
1902907,6581482.483,1877266.589,1,1902907,WILEY,California American Water Company,2003.000,239042.959
1903119,6584364.223,1874725.208,1,1903119,1903119,Owl Rock Products Company,117.000,13963.068
8000149,6584764.155,1875318.900,1,8000149,05E,"Glendora, City of",1810.000,216009.863
8000086,6585940.583,1877294.050,1,8000086,03_OLD_08,"Azusa, City of (Azusa Light and Water)",2418.000,288570.082
8000072,6585973.682,1877631.940,1,8000072,01_OLD_07,"Azusa, City of (Azusa Light and Water)",1244.000,148462.027
1902458,6586199.072,1877444.206,1,1902458,04_OLD_2_SOUTH,Azusa Agricultural Water Co. (Azusa Light & Water),2171.000,259092.493
1900827,6587050.923,1875860.442,1,1900827,12G,"Glendora, City of",1878.000,224125.151
8000103,6587111.928,1863551.239,1,8000103,10_OLD_08,Azusa Valley Water Company (Azusa Light and,16.000,1909.479
1902116,6587150.125,1873462.133,1,1902116,07_OLD_05,Azusa Valley Water Company (Azusa Light and,296.000,35325.370
1900830,6587224.411,1876317.873,1,1900830,09E,"Glendora, City of",1931.000,230450.301
1900829,6587226.536,1876048.868,1,1900829,08E,"Glendora, City of",1305.000,155741.918
1902535,6587896.183,1874401.696,1,1902535,06_OLD_03,"Azusa, City of (Azusa Light and Water)",390.000,46543.562
1902115,6587938.100,1873453.565,1,1902115,08_OLD_04,Azusa Valley Water Company (Azusa Light and,36.000,4296.329
1902457,6588428.809,1874593.959,1,1902457,02_OLD_1_NORTH,Azusa Agricultural Water Co. (Azusa Light & Water),820.000,97860.822
8000178_1902533,6588894.850,1874913.439,2,8000178_1902533,WELL_11_05_OLD_01,"Azusa Light and Water | Azusa, City of (Azusa Light and Water)",2660.000,317450.959
8000179,6588997.121,1864836.093,1,8000179,WELL_12,Azusa Light and Water,1738.000,207417.205
8000051,6595325.554,1847401.379,1,8000051,1,Valencia Heights Water Company,1328.000,158486.795
8000212,6603879.197,1867313.656,1,8000212,HWY-2,Golden State Water Company,838.000,100008.986
1900826,6605887.090,1873754.123,1,1900826,11E,"Glendora, City of",381.000,45469.479
1900828,6606888.465,1874794.863,1,1900828,10E,"Glendora, City of",15.000,1790.137
1901526,6608052.143,1876546.071,1,1901526,02E,"Glendora, City of",173.000,20646.247
1902268,6608508.036,1864170.619,1,1902268,COL-4,Southern California Water Company-San Dimas,425.000,50720.548
1902149,6623555.977,1866286.803,1,1902149,BAS-4,Southern California Water Company-San Dimas,83.000,9905.425
1902842,6623605.807,1866852.641,1,1902842,ART_3,Southern California Water Company-San Dimas,9.000,1074.082
1902148,6624125.390,1866722.958,1,1902148,BAS-3,Southern California Water Company-San Dimas,421.000,50243.178
1902150,6624349.482,1867060.231,1,1902150,HWY_-INACTIVE,Southern California Water Company-San Dimas,473.000,56448.986
1902287,6626657.969,1870922.778,1,1902287,MALONE,Southern California Water Company-San Dimas,397.000,47378.959
