"recordation_number","location_recordation_number","well_id","appendix_name","owner","x_stateplane_nad27_ca_zone7_ft","y_stateplane_nad27_ca_zone7_ft","ground_surface_ft_msl","production_2014_15_afy","gflow_pumping_ft3_day_positive_extraction","modflow_well_ft3_day_negative_extraction","production_pdf_page","location_pdf_page"
"8000100","8000100","05A","5A","California Domestic Water Company","4285994","4136451","305","5440","649223.014","-649223.014","337","218"
"1901181","1901181","2","2","California Domestic Water Company","4285479","4134123","295","1167","139272.658","-139272.658","337","218"
"1903057","1903057","3","3","California Domestic Water Company","4285828","4134755","292","6216","741832.767","-741832.767","337","218"
"1902967","1902967","6","6","California Domestic Water Company","4286105","4136229","299","3026","361130.301","-361130.301","337","218"
"1903081","1903081","8","8","California Domestic Water Company","4285050","4134016","290","2919","348360.658","-348360.658","337","218"
"1902816","1902816","2","2","Champion Mutual Water Company","4286091","4144296","327","1","119.342","-119.342","338","218"
"8000121","8000121","3","3","Champion Mutual Water Company","4285968","4144438","323","50","5967.123","-5967.123","338","218"
"8000097","8000097","5","5","City of Industry","4286221","4130303","285","1386","165408.658","-165408.658","340","218"
"1903088","1903088","01-REL","1 REL","Conrock Company (also Ca. Portland Cement)","4306783","4161518","550","421","50243.178","-50243.178","338","218"
"1900885","1900885","BALDWIN 1","1 BAL","Covina Irrigating Company","4304463","4145113","401","278","33177.205","-33177.205","339","218"
"1900883","1900883","BALDWIN 2","2 BAL","Covina Irrigating Company","4304322","4145025","402","1150","137243.836","-137243.836","339","218"
"1900882","1900882","BALDWIN 3","3 BAL","Covina Irrigating Company","4304401","4145023","401","1916","228660.164","-228660.164","339","218"
"1900331","1900331","BURKETT","BURKE","Del Rio Mutual Water Company","4281306","4129441","270","114","13605.041","-13605.041","339","218"
"1900415","1900415","Banks","","Doyle & Madruga (Banks)","4293118","4167917","692","34","4057.644","-4057.644","337","219"
"11901508","11901508","9","9","East Pasadena Water Company, Ltd.","4267883","4157603","503","1438","171614.466","-171614.466","339","219"
"1901699","1901699","10","10","El Monte, City of","4277622","4139397","277","1059","126383.671","-126383.671","340","219"
"8000101","8000101","13","13","El Monte, City of","4275213","4139990","279","737","87955.397","-87955.397","340","219"
"1901692","1901692","2A","2A","El Monte, City of","4276548","4139222","285","486","58000.438","-58000.438","339","219"
