x_epsg2229_ft,y_epsg2229_ft,n_source_wells,source_labels,production_2014_15_afy,discharge_ft3_day
6541040.621,1845005.045,2,1903103_8000113,1779.000,212310.247
6561081.295,1842616.198,2,1900719_8000205,8227.000,981830.466
6564448.794,1846116.205,2,8000188_8000187,6963.000,830981.589
6569095.522,1846923.000,2,8000190_8000189,2682.000,320076.493
6588894.850,1874913.439,2,8000178_1902533,2660.000,317450.959
