run_id,hk_ft_per_day,particle_id,point_id,x_ft,y_ft
run_19,44.992258,1,1,56382.600,49758.100
run_19,44.992258,1,2,56382.600,49758.100
run_19,44.992258,1,3,56454.100,49685.300
run_19,44.992258,1,4,56527.800,49614.700
run_19,44.992258,1,5,56605.800,49549.200
run_19,44.992258,1,6,56691.300,49494.700
run_19,44.992258,1,7,56787.600,49468.800
run_19,44.992258,1,8,56832.700,49476.200
run_19,44.992258,1,9,56832.700,49476.200
run_19,44.992258,1,10,56832.700,49476.200
run_19,44.992258,2,1,56382.800,49758.300
run_19,44.992258,2,2,56382.800,49758.300
run_19,44.992258,2,3,56462.800,49695.000
run_19,44.992258,2,4,56546.900,49637.200
run_19,44.992258,2,5,56638.000,49591.500
run_19,44.992258,2,6,56737.200,49570.300
run_19,44.992258,2,7,56835.900,49591.100
run_19,44.992258,2,8,56916.400,49651.600
run_19,44.992258,2,9,56976.100,49733.000
run_19,44.992258,2,10,56977.500,49735.400
run_19,44.992258,2,11,56977.500,49735.400
run_19,44.992258,2,12,56977.500,49735.400
run_19,44.992258,3,1,56382.900,49758.500
run_19,44.992258,3,2,56382.900,49758.500
run_19,44.992258,3,3,56470.200,49705.600
run_19,44.992258,3,4,56562.400,49662.000
run_19,44.992258,3,5,56661.300,49637.400
run_19,44.992258,3,6,56762.700,49645.300
run_19,44.992258,3,7,56852.300,49692.600
run_19,44.992258,3,8,56920.600,49767.400
run_19,44.992258,3,9,56968.900,49856.600
run_19,44.992258,3,10,57000.800,49952.900
run_19,44.992258,3,11,57003.300,49963.000
run_19,44.992258,3,12,57003.300,49963.000
run_19,44.992258,3,13,57003.300,49963.000
run_19,44.992258,4,1,56383.000,49758.700
run_19,44.992258,4,2,56383.000,49758.700
run_19,44.992258,4,3,56476.200,49717.100
run_19,44.992258,4,4,56574.100,49688.400
run_19,44.992258,4,5,56676.000,49684.400
run_19,44.992258,4,6,56772.900,49715.500
run_19,44.992258,4,7,56851.900,49779.300
run_19,44.992258,4,8,56909.000,49863.300
run_19,44.992258,4,9,56947.000,49957.500
run_19,44.992258,4,10,56969.300,50056.600
run_19,44.992258,4,11,56978.700,50157.800
run_19,44.992258,4,12,56979.000,50165.500
run_19,44.992258,4,13,56979.000,50165.500
run_19,44.992258,4,14,56979.000,50165.500
run_19,44.992258,5,1,56383.100,49758.900
run_19,44.992258,5,2,56383.100,49758.900
run_19,44.992258,5,3,56480.700,49729.300
run_19,44.992258,5,4,56581.900,49715.800
run_19,44.992258,5,5,56682.700,49730.800
run_19,44.992258,5,6,56772.100,49779.700
run_19,44.992258,5,7,56840.500,49855.000
run_19,44.992258,5,8,56887.300,49945.200
run_19,44.992258,5,9,56916.000,50042.800
run_19,44.992258,5,10,56929.700,50143.500
run_19,44.992258,5,11,56931.300,50245.200
run_19,44.992258,5,12,56928.600,50291.100
run_19,44.992258,5,13,56928.600,50291.100
run_19,44.992258,5,14,56928.600,50291.100
run_19,44.992258,6,1,56383.200,49759.200
run_19,44.992258,6,2,56383.200,49759.200
run_19,44.992258,6,3,56483.700,49741.900
run_19,44.992258,6,4,56585.800,49743.600
run_19,44.992258,6,5,56682.600,49775.500
run_19,44.992258,6,6,56763.000,49838.000
run_19,44.992258,6,7,56821.200,49921.600
run_19,44.992258,6,8,56858.500,50016.300
run_19,44.992258,6,9,56878.600,50116.000
run_19,44.992258,6,10,56884.600,50217.600
run_19,44.992258,6,11,56879.100,50319.200
run_19,44.992258,6,12,56863.900,50419.700
run_19,44.992258,6,13,56858.800,50444.600
run_19,44.992258,6,14,56858.800,50444.600
run_19,44.992258,6,15,56858.800,50444.600
run_19,44.992258,7,1,56383.200,49759.400
run_19,44.992258,7,2,56383.200,49759.400
run_19,44.992258,7,3,56485.100,49754.800
run_19,44.992258,7,4,56585.800,49771.100
run_19,44.992258,7,5,56676.600,49817.700
run_19,44.992258,7,6,56747.600,49890.800
