run_id,hk_ft_per_day,particle_id,point_id,x_ft,y_ft
run_15,37.191344,1,1,56382.700,49758.200
run_15,37.191344,1,2,56382.700,49758.200
run_15,37.191344,1,3,56458.600,49690.100
run_15,37.191344,1,4,56536.500,49624.200
run_15,37.191344,1,5,56618.100,49563.100
run_15,37.191344,1,6,56705.900,49512.300
run_15,37.191344,1,7,56802.400,49486.900
run_15,37.191344,1,8,56846.900,49493.300
run_15,37.191344,1,9,56846.900,49493.300
run_15,37.191344,1,10,56846.900,49493.300
run_15,37.191344,2,1,56382.800,49758.400
run_15,37.191344,2,2,56382.800,49758.400
run_15,37.191344,2,3,56466.600,49700.300
run_15,37.191344,2,4,56554.100,49647.700
run_15,37.191344,2,5,56647.500,49607.000
run_15,37.191344,2,6,56747.500,49589.400
run_15,37.191344,2,7,56845.800,49611.900
run_15,37.191344,2,8,56924.700,49674.300
run_15,37.191344,2,9,56954.200,49711.200
run_15,37.191344,2,10,56954.200,49711.200
run_15,37.191344,2,11,56954.200,49711.200
run_15,37.191344,3,1,56383.000,49758.600
run_15,37.191344,3,2,56383.000,49758.600
run_15,37.191344,3,3,56473.400,49711.400
run_15,37.191344,3,4,56568.100,49673.300
run_15,37.191344,3,5,56668.100,49653.900
run_15,37.191344,3,6,56769.100,49665.600
run_15,37.191344,3,7,56857.300,49715.500
run_15,37.191344,3,8,56922.700,49792.800
run_15,37.191344,3,9,56966.900,49883.900
run_15,37.191344,3,10,56994.000,49981.700
run_15,37.191344,3,11,56994.700,49985.400
run_15,37.191344,3,12,56994.700,49985.400
run_15,37.191344,3,13,56994.700,49985.400
run_15,37.191344,4,1,56383.100,49758.800
run_15,37.191344,4,2,56383.100,49758.800
run_15,37.191344,4,3,56478.600,49723.200
run_15,37.191344,4,4,56578.100,49700.300
run_15,37.191344,4,5,56680.000,49701.500
run_15,37.191344,4,6,56775.600,49736.400
run_15,37.191344,4,7,56852.100,49803.200
run_15,37.191344,4,8,56905.500,49889.600
run_15,37.191344,4,9,56938.800,49985.500
run_15,37.191344,4,10,56955.900,50085.700
run_15,37.191344,4,11,56959.700,50187.200
run_15,37.191344,4,12,56959.700,50188.400
run_15,37.191344,4,13,56959.700,50188.400
run_15,37.191344,4,14,56959.700,50188.400
run_15,37.191344,5,1,56383.100,49759.100
run_15,37.191344,5,2,56383.100,49759.100
run_15,37.191344,5,3,56482.400,49735.600
run_15,37.191344,5,4,56584.200,49728.100
run_15,37.191344,5,5,56684.100,49748.200
run_15,37.191344,5,6,56771.300,49800.900
run_15,37.191344,5,7,56836.300,49879.100
run_15,37.191344,5,8,56878.800,49971.500
run_15,37.191344,5,9,56902.300,50070.400
run_15,37.191344,5,10,56910.600,50171.700
run_15,37.191344,5,11,56906.200,50273.300
run_15,37.191344,5,12,56901.700,50313.000
run_15,37.191344,5,13,56901.700,50313.000
run_15,37.191344,5,14,56901.700,50313.000
run_15,37.191344,6,1,56383.200,49759.300
run_15,37.191344,6,2,56383.200,49759.300
run_15,37.191344,6,3,56484.600,49748.400
run_15,37.191344,6,4,56586.400,49756.100
run_15,37.191344,6,5,56681.500,49792.900
run_15,37.191344,6,6,56758.900,49859.100
run_15,37.191344,6,7,56813.000,49945.300
run_15,37.191344,6,8,56845.500,50041.700
run_15,37.191344,6,9,56860.100,50142.400
run_15,37.191344,6,10,56860.400,50244.100
run_15,37.191344,6,11,56848.800,50345.200
run_15,37.191344,6,12,56827.500,50444.600
run_15,37.191344,6,13,56822.300,50464.100
run_15,37.191344,6,14,56822.300,50464.100
run_15,37.191344,6,15,56822.300,50464.100
run_15,37.191344,7,1,56383.200,49759.500
run_15,37.191344,7,2,56383.200,49759.500
run_15,37.191344,7,3,56485.200,49761.300
run_15,37.191344,7,4,56584.800,49783.600
run_15,37.191344,7,5,56673.000,49834.700
run_15,37.191344,7,6,56740.300,49911.300
run_15,37.191344,7,7,56784.100,50003.200
run_15,37.191344,7,8,56807.300,50102.300
run_15,37.191344,7,9,56813.800,50203.900
run_15,37.191344,7,10,56806.800,50305.500
run_15,37.191344,7,11,56788.800,50405.600
run_15,37.191344,7,12,56761.700,50503.700
run_15,37.191344,7,13,56747.000,50546.800
run_15,37.191344,7,14,56747.000,50546.800
run_15,37.191344,7,15,56747.000,50546.800
run_15,37.191344,8,1,56383.200,49759.800
run_15,37.191344,8,2,56383.200,49759.800
run_15,37.191344,8,3,56484.100,49774.200
run_15,37.191344,8,4,56579.700,49810.200
run_15,37.191344,8,5,56659.700,49873.400
run_15,37.191344,8,6,56716.700,49957.900
run_15,37.191344,8,7,56750.800,50053.900
run_15,37.191344,8,8,56765.400,50154.700
run_15,37.191344,8,9,56764.400,50256.500
run_15,37.191344,8,10,56750.900,50357.400
run_15,37.191344,8,11,56727.100,50456.400
run_15,37.191344,8,12,56694.600,50552.800
run_15,37.191344,8,13,56654.800,50646.500
run_15,37.191344,8,14,56648.200,50660.500
run_15,37.191344,8,15,56648.200,50660.500
run_15,37.191344,8,16,56648.200,50660.500
run_15,37.191344,9,1,56383.100,49760.000
run_15,37.191344,9,2,56383.100,49760.000
run_15,37.191344,9,3,56481.500,49786.900
run_15,37.191344,9,4,56571.300,49835.400
run_15,37.191344,9,5,56642.200,49908.800
run_15,37.191344,9,6,56689.300,49999.200
run_15,37.191344,9,7,56714.100,50098.000
