run_id,hk_ft_per_day,particle_id,point_id,x_ft,y_ft
run_07,10.328282,1,1,56383.000,49758.600
run_07,10.328282,1,2,56383.000,49758.600
run_07,10.328282,1,3,56471.200,49710.200
run_07,10.328282,1,4,56561.900,49663.500
run_07,10.328282,1,5,56654.600,49621.200
run_07,10.328282,1,6,56750.200,49587.400
run_07,10.328282,1,7,56848.800,49573.400
run_07,10.328282,1,8,56888.400,49581.400
run_07,10.328282,1,9,56888.400,49581.400
run_07,10.328282,1,10,56888.400,49581.400
run_07,10.328282,2,1,56383.100,49758.800
run_07,10.328282,2,2,56383.100,49758.800
run_07,10.328282,2,3,56476.600,49721.800
run_07,10.328282,2,4,56573.700,49690.100
run_07,10.328282,2,5,56673.500,49670.000
run_07,10.328282,2,6,56775.000,49671.300
run_07,10.328282,2,7,56868.100,49709.700
run_07,10.328282,2,8,56933.300,49785.700
run_07,10.328282,2,9,56950.600,49819.500
run_07,10.328282,2,10,56950.600,49819.500
run_07,10.328282,2,11,56950.600,49819.500
run_07,10.328282,3,1,56383.100,49759.000
run_07,10.328282,3,2,56383.100,49759.000
run_07,10.328282,3,3,56480.600,49734.000
run_07,10.328282,3,4,56581.400,49718.000
run_07,10.328282,3,5,56683.300,49720.100
run_07,10.328282,3,6,56780.000,49751.300
run_07,10.328282,3,7,56856.600,49817.400
run_07,10.328282,3,8,56903.700,49906.900
run_07,10.328282,3,9,56925.900,50005.700
run_07,10.328282,3,10,56929.900,50052.000
run_07,10.328282,3,11,56929.900,50052.000
run_07,10.328282,3,12,56929.900,50052.000
run_07,10.328282,4,1,56383.200,49759.300
run_07,10.328282,4,2,56383.200,49759.300
run_07,10.328282,4,3,56483.000,49746.600
run_07,10.328282,4,4,56585.100,49746.400
run_07,10.328282,4,5,56684.400,49769.100
run_07,10.328282,4,6,56770.800,49822.900
run_07,10.328282,4,7,56831.300,49904.400
run_07,10.328282,4,8,56863.800,50000.500
run_07,10.328282,4,9,56873.800,50101.500
run_07,10.328282,4,10,56866.400,50202.700
run_07,10.328282,4,11,56858.300,50249.800
run_07,10.328282,4,12,56858.300,50249.800
run_07,10.328282,4,13,56858.300,50249.800
run_07,10.328282,5,1,56383.200,49759.500
run_07,10.328282,5,2,56383.200,49759.500
run_07,10.328282,5,3,56483.800,49759.300
run_07,10.328282,5,4,56584.700,49774.600
run_07,10.328282,5,5,56678.000,49815.700
run_07,10.328282,5,6,56752.000,49885.600
run_07,10.328282,5,7,56798.100,49976.200
run_07,10.328282,5,8,56818.100,50075.900
run_07,10.328282,5,9,56817.500,50177.500
run_07,10.328282,5,10,56801.000,50277.800
run_07,10.328282,5,11,56771.900,50375.200
run_07,10.328282,5,12,56757.900,50412.000
run_07,10.328282,5,13,56757.900,50412.000
run_07,10.328282,5,14,56757.900,50412.000
run_07,10.328282,6,1,56383.200,49759.800
run_07,10.328282,6,2,56383.200,49759.800
run_07,10.328282,6,3,56483.000,49772.100
run_07,10.328282,6,4,56580.600,49802.200
run_07,10.328282,6,5,56665.400,49858.700
run_07,10.328282,6,6,56726.600,49940.100
run_07,10.328282,6,7,56759.800,50036.300
run_07,10.328282,6,8,56768.800,50137.700
run_07,10.328282,6,9,56759.000,50238.900
run_07,10.328282,6,10,56734.500,50337.600
run_07,10.328282,6,11,56698.500,50432.700
run_07,10.328282,6,12,56653.100,50523.800
run_07,10.328282,6,13,56641.800,50543.800
run_07,10.328282,6,14,56641.800,50543.800
run_07,10.328282,6,15,56641.800,50543.800
run_07,10.328282,7,1,56383.100,49760.000
run_07,10.328282,7,2,56383.100,49760.000
run_07,10.328282,7,3,56480.700,49784.700
run_07,10.328282,7,4,56572.900,49828.500
run_07,10.328282,7,5,56647.800,49897.700
run_07,10.328282,7,6,56696.400,49987.200
run_07,10.328282,7,7,56718.000,50086.700
run_07,10.328282,7,8,56717.200,50188.500
run_07,10.328282,7,9,56699.100,50288.700
run_07,10.328282,7,10,56667.700,50385.500
run_07,10.328282,7,11,56625.700,50478.100
run_07,10.328282,7,12,56575.200,50566.400
run_07,10.328282,7,13,56517.700,50650.300
run_07,10.328282,7,14,56517.300,50650.800
run_07,10.328282,7,15,56517.300,50650.800
run_07,10.328282,7,16,56517.300,50650.800
run_07,10.328282,8,1,56383.100,49760.200
run_07,10.328282,8,2,56383.100,49760.200
run_07,10.328282,8,3,56476.800,49796.800
run_07,10.328282,8,4,56562.000,49853.100
run_07,10.328282,8,5,56626.000,49932.500
run_07,10.328282,8,6,56662.700,50027.500
run_07,10.328282,8,7,56673.700,50128.800
run_07,10.328282,8,8,56664.100,50230.200
run_07,10.328282,8,9,56638.800,50328.800
