run_id,hk_ft_per_day,particle_id,point_id,x_ft,y_ft
run_04,19.926079,1,1,56382.900,49758.400
run_04,19.926079,1,2,56382.900,49758.400
run_04,19.926079,1,3,56467.700,49702.300
run_04,19.926079,1,4,56554.300,49648.300
run_04,19.926079,1,5,56643.400,49598.800
run_04,19.926079,1,6,56736.300,49558.200
run_04,19.926079,1,7,56834.100,49538.500
run_04,19.926079,1,8,56876.100,49544.900
run_04,19.926079,1,9,56876.100,49544.900
run_04,19.926079,1,10,56876.100,49544.900
run_04,19.926079,2,1,56383.000,49758.600
run_04,19.926079,2,2,56383.000,49758.600
run_04,19.926079,2,3,56474.100,49713.500
run_04,19.926079,2,4,56568.200,49674.000
run_04,19.926079,2,5,56666.200,49646.000
run_04,19.926079,2,6,56767.500,49639.400
run_04,19.926079,2,7,56863.400,49670.200
run_04,19.926079,2,8,56935.500,49740.000
run_04,19.926079,2,9,56956.600,49773.300
run_04,19.926079,2,10,56956.600,49773.300
run_04,19.926079,2,11,56956.600,49773.300
run_04,19.926079,3,1,56383.100,49758.900
run_04,19.926079,3,2,56383.100,49758.900
run_04,19.926079,3,3,56479.100,49725.500
run_04,19.926079,3,4,56578.300,49701.200
run_04,19.926079,3,5,56680.000,49695.000
run_04,19.926079,3,6,56779.000,49718.200
run_04,19.926079,3,7,56861.200,49777.300
run_04,19.926079,3,8,56916.700,49861.900
run_04,19.926079,3,9,56948.400,49958.000
run_04,19.926079,3,10,56956.700,50003.000
run_04,19.926079,3,11,56956.700,50003.000
run_04,19.926079,3,12,56956.700,50003.000
run_04,19.926079,4,1,56383.200,49759.100
run_04,19.926079,4,2,56383.200,49759.100
run_04,19.926079,4,3,56482.600,49737.900
run_04,19.926079,4,4,56584.300,49729.300
run_04,19.926079,4,5,56685.200,49743.900
run_04,19.926079,4,6,56775.900,49790.000
run_04,19.926079,4,7,56843.700,49865.600
run_04,19.926079,4,8,56885.300,49958.100
run_04,19.926079,4,9,56905.000,50057.700
run_04,19.926079,4,10,56907.500,50159.200
run_04,19.926079,4,11,56904.300,50204.000
run_04,19.926079,4,12,56904.300,50204.000
run_04,19.926079,4,13,56904.300,50204.000
run_04,19.926079,5,1,56383.200,49759.300
run_04,19.926079,5,2,56383.200,49759.300
run_04,19.926079,5,3,56484.500,49750.700
run_04,19.926079,5,4,56586.300,49757.700
run_04,19.926079,5,5,56682.800,49790.800
run_04,19.926079,5,6,56762.600,49853.900
run_04,19.926079,5,7,56817.000,49939.900
run_04,19.926079,5,8,56846.400,50037.100
run_04,19.926079,5,9,56855.600,50138.400
run_04,19.926079,5,10,56848.900,50239.800
run_04,19.926079,5,11,56829.400,50339.500
run_04,19.926079,5,12,56820.200,50373.200
run_04,19.926079,5,13,56820.200,50373.200
run_04,19.926079,5,14,56820.200,50373.200
run_04,19.926079,6,1,56383.200,49759.600
run_04,19.926079,6,2,56383.200,49759.600
run_04,19.926079,6,3,56484.800,49763.600
run_04,19.926079,6,4,56584.500,49785.600
run_04,19.926079,6,5,56673.800,49834.700
run_04,19.926079,6,6,56742.000,49910.400
run_04,19.926079,6,7,56784.000,50003.100
run_04,19.926079,6,8,56802.600,50103.100
run_04,19.926079,6,9,56802.500,50204.800
run_04,19.926079,6,10,56787.600,50305.400
run_04,19.926079,6,11,56760.900,50403.600
run_04,19.926079,6,12,56724.500,50498.500
run_04,19.926079,6,13,56717.500,50514.100
run_04,19.926079,6,14,56717.500,50514.100
run_04,19.926079,6,15,56717.500,50514.100
run_04,19.926079,7,1,56383.200,49759.800
run_04,19.926079,7,2,56383.200,49759.800
run_04,19.926079,7,3,56483.500,49776.500
run_04,19.926079,7,4,56579.000,49812.500
run_04,19.926079,7,5,56659.500,49875.100
run_04,19.926079,7,6,56715.900,49959.900
run_04,19.926079,7,7,56746.700,50057.000
run_04,19.926079,7,8,56755.500,50158.400
run_04,19.926079,7,9,56747.000,50259.900
run_04,19.926079,7,10,56724.900,50359.200
run_04,19.926079,7,11,56691.800,50455.400
run_04,19.926079,7,12,56649.800,50548.100
run_04,19.926079,7,13,56629.100,50587.400
run_04,19.926079,7,14,56629.100,50587.400
run_04,19.926079,7,15,56629.100,50587.400
run_04,19.926079,8,1,56383.100,49760.100
run_04,19.926079,8,2,56383.100,49760.100
run_04,19.926079,8,3,56480.600,49789.100
run_04,19.926079,8,4,56570.100,49838.100
run_04,19.926079,8,5,56640.700,49911.700
run_04,19.926079,8,6,56685.800,50003.100
run_04,19.926079,8,7,56706.000,50102.900
run_04,19.926079,8,8,56706.000,50204.800
run_04,19.926079,8,9,56690.000,50305.300
run_04,19.926079,8,10,56661.400,50403.000
run_04,19.926079,8,11,56622.800,50497.200
run_04,19.926079,8,12,56575.800,50587.500
run_04,19.926079,8,13,56522.000,50673.800
run_04,19.926079,8,14,56512.700,50687.400
run_04,19.926079,8,15,56512.700,50687.400
run_04,19.926079,8,16,56512.700,50687.400
run_04,19.926079,9,1,56383.000,49760.300
run_04,19.926079,9,2,56383.000,49760.300
run_04,19.926079,9,3,56476.200,49801.200
run_04,19.926079,9,4,56558.200,49861.900
run_04,19.926079,9,5,56618.400,49944.300
run_04,19.926079,9,6,56652.400,50040.300
run_04,19.926079,9,7,56663.100,50141.700
run_04,19.926079,9,8,56654.900,50243.200
run_04,19.926079,9,9,56632.100,50342.500
run_04,19.926079,9,10,56597.800,50438.300
run_04,19.926079,9,11,56554.200,50530.300
run_04,19.926079,9,12,56503.000,50618.300
run_04,19.926079,9,13,56445.500,50702.300
run_04,19.926079,9,14,56423.600,50731.300
run_04,19.926079,9,15,56423.600,50731.300
run_04,19.926079,9,16,56423.600,50731.300
run_04,19.926079,10,1,56382.900,49760.500
run_04,19.926079,10,2,56382.900,49760.500
run_04,19.926079,10,3,56470.300,49812.600
run_04,19.926079,10,4,56543.700,49883.500
run_04,19.926079,10,5,56593.000,49972.800
run_04,19.926079,10,6,56616.700,50072.000
run_04,19.926079,10,7,56618.400,50173.900
run_04,19.926079,10,8,56602.800,50274.600
run_04,19.926079,10,9,56573.900,50372.200
run_04,19.926079,10,10,56534.400,50466.100
run_04,19.926079,10,11,56486.400,50555.900
run_04,19.926079,10,12,56431.500,50641.700
run_04,19.926079,10,13,56370.800,50723.400
run_04,19.926079,10,14,56305.300,50801.300
run_04,19.926079,10,15,56303.600,50803.300
run_04,19.926079,10,16,56303.600,50803.300
run_04,19.926079,10,17,56303.600,50803.300
run_04,19.926079,11,1,56382.800,49760.700
run_04,19.926079,11,2,56382.800,49760.700
run_04,19.926079,11,3,56463.000,49823.300
run_04,19.926079,11,4,56526.800,49902.900
run_04,19.926079,11,5,56565.400,49997.400
run_04,19.926079,11,6,56579.200,50098.400
run_04,19.926079,11,7,56572.600,50200.100
run_04,19.926079,11,8,56550.300,50299.600
run_04,19.926079,11,9,56515.700,50395.400
run_04,19.926079,11,10,56471.600,50487.200
run_04,19.926079,11,11,56419.800,50574.900
run_04,19.926079,11,12,56361.600,50658.500
run_04,19.926079,11,13,56298.300,50738.200
run_04,19.926079,11,14,56230.700,50814.200
run_04,19.926079,11,15,56218.200,50827.400
run_04,19.926079,11,16,56218.200,50827.400
run_04,19.926079,11,17,56218.200,50827.400
run_04,19.926079,12,1,56382.600,49760.900
run_04,19.926079,12,2,56382.600,49760.900
run_04,19.926079,12,3,56454.400,49832.900
run_04,19.926079,12,4,56508.000,49919.800
run_04,19.926079,12,5,56535.900,50018.000
run_04,19.926079,12,6,56540.400,50119.900
run_04,19.926079,12,7,56526.100,50220.800
run_04,19.926079,12,8,56497.600,50318.600
run_04,19.926079,12,9,56458.000,50412.500
run_04,19.926079,12,10,56409.700,50502.200
run_04,19.926079,12,11,56354.500,50587.800
run_04,19.926079,12,12,56293.600,50669.400
run_04,19.926079,12,13,56228.000,50747.300
run_04,19.926079,12,14,56158.600,50821.800
run_04,19.926079,12,15,56136.200,50844.400
run_04,19.926079,12,16,56136.200,50844.400
run_04,19.926079,12,17,56136.200,50844.400
run_04,19.926079,13,1,56382.400,49761.100
run_04,19.926079,13,2,56382.400,49761.100
run_04,19.926079,13,3,56444.800,49841.400
run_04,19.926079,13,4,56487.500,49934.100
run_04,19.926079,13,5,56505.100,50034.600
run_04,19.926079,13,6,56500.700,50136.500
run_04,19.926079,13,7,56479.400,50236.200
run_04,19.926079,13,8,56445.100,50332.200
run_04,19.926079,13,9,56400.900,50424.100
run_04,19.926079,13,10,56349.000,50511.700
run_04,19.926079,13,11,56290.800,50595.300
run_04,19.926079,13,12,56227.500,50675.100
run_04,19.926079,13,13,56160.100,50751.400
run_04,19.926079,13,14,56089.200,50824.500
run_04,19.926079,13,15,56057.700,50855.200
run_04,19.926079,13,16,56057.700,50855.200
run_04,19.926079,13,17,56057.700,50855.200
run_04,19.926079,14,1,56382.200,49761.200
run_04,19.926079,14,2,56382.200,49761.200
run_04,19.926079,14,3,56434.200,49848.700
run_04,19.926079,14,4,56465.800,49945.700
run_04,19.926079,14,5,56473.200,50047.500
run_04,19.926079,14,6,56460.600,50148.700
run_04,19.926079,14,7,56432.700,50246.800
run_04,19.926079,14,8,56393.200,50340.700
run_04,19.926079,14,9,56344.900,50430.500
run_04,19.926079,14,10,56289.600,50516.100
run_04,19.926079,14,11,56228.800,50597.800
run_04,19.926079,14,12,56163.500,50675.900
run_04,19.926079,14,13,56094.500,50750.900
run_04,19.926079,14,14,56022.500,50822.900
run_04,19.926079,14,15,55948.000,50892.300
run_04,19.926079,14,16,55945.100,50894.900
run_04,19.926079,14,17,55945.100,50894.900
run_04,19.926079,14,18,55945.100,50894.900
run_04,19.926079,15,1,56382.000,49761.300
run_04,19.926079,15,2,56382.000,49761.300
run_04,19.926079,15,3,56422.700,49854.500
run_04,19.926079,15,4,56443.200,49954.500
run_04,19.926079,15,5,56440.900,50056.600
run_04,19.926079,15,6,56420.400,50156.500
run_04,19.926079,15,7,56386.400,50252.600
run_04,19.926079,15,8,56342.100,50344.500
run_04,19.926079,15,9,56290.000,50432.100
run_04,19.926079,15,10,56231.800,50515.700
run_04,19.926079,15,11,56168.700,50595.700
run_04,19.926079,15,12,56101.600,50672.300
run_04,19.926079,15,13,56031.400,50746.000
run_04,19.926079,15,14,55958.500,50817.200
run_04,19.926079,15,15,55883.400,50886.000
run_04,19.926079,15,16,55873.300,50895.000
run_04,19.926079,15,17,55873.300,50895.000
run_04,19.926079,15,18,55873.300,50895.000
run_04,19.926079,16,1,56381.800,49761.400
run_04,19.926079,16,2,56381.800,49761.400
run_04,19.926079,16,3,56410.700,49858.900
run_04,19.926079,16,4,56419.900,49960.600
run_04,19.926079,16,5,56408.300,50062.000
run_04,19.926079,16,6,56380.500,50160.100
run_04,19.926079,16,7,56340.800,50254.100
run_04,19.926079,16,8,56292.100,50343.700
run_04,19.926079,16,9,56236.600,50429.100
run_04,19.926079,16,10,56175.700,50510.900
run_04,19.926079,16,11,56110.600,50589.200
run_04,19.926079,16,12,56042.100,50664.600
run_04,19.926079,16,13,55970.700,50737.300
run_04,19.926079,16,14,55897.100,50807.700
run_04,19.926079,16,15,55821.700,50876.100
run_04,19.926079,16,16,55805.300,50890.600
run_04,19.926079,16,17,55805.300,50890.600
run_04,19.926079,16,18,55805.300,50890.600
run_04,19.926079,17,1,56381.500,49761.500
run_04,19.926079,17,2,56381.500,49761.500
run_04,19.926079,17,3,56398.200,49861.800
run_04,19.926079,17,4,56396.300,49963.900
run_04,19.926079,17,5,56375.800,50063.800
run_04,19.926079,17,6,56341.100,50159.800
run_04,19.926079,17,7,56296.100,50251.300
run_04,19.926079,17,8,56243.400,50338.600
run_04,19.926079,17,9,56184.800,50422.000
run_04,19.926079,17,10,56121.500,50501.900
run_04,19.926079,17,11,56054.600,50578.700
run_04,19.926079,17,12,55984.800,50652.900
run_04,19.926079,17,13,55912.600,50724.700
run_04,19.926079,17,14,55838.500,50794.600
run_04,19.926079,17,15,55762.900,50862.800
run_04,19.926079,17,16,55741.000,50882.100
run_04,19.926079,17,17,55741.000,50882.100
run_04,19.926079,17,18,55741.000,50882.100
run_04,19.926079,18,1,56381.300,49761.500
run_04,19.926079,18,2,56381.300,49761.500
run_04,19.926079,18,3,56385.400,49863.100
run_04,19.926079,18,4,56372.700,49964.400
run_04,19.926079,18,5,56343.700,50062.200
run_04,19.926079,18,6,56302.600,50155.600
run_04,19.926079,18,7,56252.700,50244.600
run_04,19.926079,18,8,56196.200,50329.500
run_04,19.926079,18,9,56134.700,50410.800
run_04,19.926079,18,10,56069.400,50489.000
run_04,19.926079,18,11,56000.900,50564.400
run_04,19.926079,18,12,55929.900,50637.500
run_04,19.926079,18,13,55857.000,50708.700
run_04,19.926079,18,14,55782.500,50778.100
run_04,19.926079,18,15,55706.800,50846.200
run_04,19.926079,18,16,55680.300,50869.500
run_04,19.926079,18,17,55680.300,50869.500
run_04,19.926079,18,18,55680.300,50869.500
run_04,19.926079,19,1,56381.000,49761.500
run_04,19.926079,19,2,56381.000,49761.500
run_04,19.926079,19,3,56372.600,49862.900
run_04,19.926079,19,4,56349.300,49962.300
run_04,19.926079,19,5,56312.300,50057.300
run_04,19.926079,19,6,56265.100,50147.800
run_04,19.926079,19,7,56210.600,50234.000
run_04,19.926079,19,8,56150.700,50316.500
run_04,19.926079,19,9,56086.600,50395.800
run_04,19.926079,19,10,56019.300,50472.300
run_04,19.926079,19,11,55949.400,50546.500
run_04,19.926079,19,12,55877.500,50618.700
run_04,19.926079,19,13,55804.000,50689.200
run_04,19.926079,19,14,55729.200,50758.300
run_04,19.926079,19,15,55653.500,50826.400
